Date,Open,High,Low,Close,Adj Close,Volume
2011-05-30,32.130001,32.970001,32.090000,32.759998,25.214233,1041900
2011-06-06,32.610001,32.660000,31.360001,31.590000,24.313719,4394200
2011-06-13,31.510000,31.780001,30.530001,30.540001,23.505579,4055800
2011-06-20,30.490000,31.209999,30.230000,30.730000,23.651815,5054100
2011-06-27,30.820000,31.459999,30.660000,31.129999,23.959679,5406100
2011-07-04,31.139999,31.280001,30.480000,30.920000,23.976513,2939800
2011-07-11,30.559999,31.240000,30.350000,31.030001,24.061810,4066900
2011-07-18,30.889999,31.969999,30.530001,31.709999,24.589109,5315000
2011-07-25,31.400000,32.330002,31.320000,31.870001,24.713177,4413500
2011-08-01,32.189999,32.400002,28.990000,29.370001,22.774588,8221700
2011-08-08,28.629999,29.389999,27.180000,28.610001,22.185253,8958700
2011-08-15,28.930000,29.600000,27.600000,27.600000,21.402065,3411500
2011-08-22,28.160000,28.160000,25.799999,26.790001,20.773964,6442800
2011-08-29,27.309999,28.969999,27.219999,27.620001,21.417576,5898600
2011-09-05,27.090000,28.440001,26.870001,27.040001,20.967819,2827900
2011-09-12,26.850000,27.860001,26.500000,27.790001,21.549400,3190800
2011-09-19,27.309999,27.590000,25.110001,25.430000,19.719366,3657400
2011-09-26,25.620001,26.559999,24.799999,25.940001,20.114843,5474800
2011-10-03,25.850000,26.760000,25.030001,25.750000,20.150620,4879700
2011-10-10,26.120001,26.959999,25.709999,26.340000,20.612328,3213800
2011-10-17,26.219999,30.049999,25.469999,29.940001,23.429493,7318000
2011-10-24,29.920000,32.070000,29.850000,31.200001,24.415516,7046500
2011-10-31,30.910000,31.600000,30.100000,31.260000,24.462465,8471800
2011-11-07,31.160000,32.520000,30.860001,32.000000,25.041546,5074500
2011-11-14,31.719999,31.900000,30.209999,30.820000,24.118139,5299000
2011-11-21,30.370001,30.610001,29.320000,29.940001,23.429493,3640800
2011-11-28,30.760000,32.009998,30.270000,30.799999,24.102489,4262900
2011-12-05,31.100000,31.410000,30.570000,31.200001,24.415516,3734300
2011-12-12,31.000000,31.230000,29.590000,30.910000,24.188568,6632400
2011-12-19,31.160000,32.779999,30.910000,32.619999,25.526718,3383400
2011-12-26,32.669998,32.990002,31.870001,31.959999,25.010244,1886800
2012-01-02,32.279999,32.529999,30.660000,31.139999,24.548733,3192600
2012-01-09,31.240000,31.730000,30.850000,31.270000,24.651211,3301400
2012-01-16,31.410000,31.440001,30.559999,31.410000,24.761578,3943600
2012-01-23,31.340000,31.549999,30.350000,31.049999,24.477781,5220900
2012-01-30,30.940001,31.730000,30.559999,31.629999,24.935015,4218400
2012-02-06,31.500000,33.000000,31.219999,32.240002,25.415901,5612600
2012-02-13,32.259998,33.060001,32.180000,32.660000,25.746998,4141500
2012-02-20,32.570000,33.029999,31.700001,31.750000,25.029615,3230100
2012-02-27,31.730000,31.730000,30.709999,31.450001,24.793114,3794700
2012-03-05,31.350000,32.639999,31.160000,32.080002,25.289768,3103400
2012-03-12,32.040001,33.150002,32.040001,32.529999,25.644516,2566100
2012-03-19,33.139999,33.330002,31.980000,32.680000,25.762766,4745000
2012-03-26,32.860001,33.520000,32.709999,33.169998,26.149046,4954100
2012-04-02,33.099998,33.830002,32.700001,33.810001,26.847017,3533000
2012-04-09,33.480000,33.619999,32.950001,33.299999,26.442051,3667900
2012-04-16,33.500000,34.560001,33.450001,34.099998,27.077293,4928500
2012-04-23,33.790001,34.880001,32.500000,33.349998,26.481750,6801500
2012-04-30,33.290001,34.529999,33.169998,34.380001,27.299635,5670100
2012-05-07,34.310001,35.119999,33.990002,34.950001,27.752241,4597700
2012-05-14,34.709999,34.880001,32.810001,32.849998,26.084730,3413400
2012-05-21,32.860001,34.160000,32.750000,33.700001,26.759684,4979300
2012-05-28,33.790001,34.099998,32.099998,32.259998,25.616230,4483900
2012-06-04,32.320000,33.439999,31.840000,32.610001,25.894157,3913500
2012-06-11,32.750000,32.820000,31.719999,32.000000,25.409779,4556500
2012-06-18,31.850000,32.540001,31.690001,32.200001,25.568588,4847300
2012-06-25,31.809999,32.770000,30.600000,32.549999,25.846510,5473000
2012-07-02,32.880001,33.840000,32.759998,33.430000,26.748947,3000200
2012-07-09,33.549999,33.549999,32.439999,33.439999,26.756950,2203100
2012-07-16,33.400002,33.630001,32.639999,32.650002,26.124838,1830900
2012-07-23,32.360001,33.500000,32.040001,33.360001,26.692942,3685000
2012-07-30,33.360001,33.770000,32.029999,33.310001,26.652929,4040600
2012-08-06,33.430000,34.430000,33.389999,33.810001,27.053001,3126700
2012-08-13,33.860001,34.610001,33.619999,34.290001,27.437075,3998500
2012-08-20,34.090000,34.349998,33.560001,33.740002,26.997000,3993200
2012-08-27,33.730000,34.450001,33.290001,34.070000,27.261044,3231600
2012-09-03,34.139999,35.240002,34.139999,35.200001,28.165218,2294100
2012-09-10,35.259998,36.430000,35.110001,36.410000,29.133394,2921100
2012-09-17,36.340000,36.450001,35.400002,35.419998,28.341236,2367300
2012-09-24,35.400002,35.660000,33.759998,34.919998,27.941172,2239900
2012-10-01,33.790001,35.939999,33.650002,35.910000,28.932158,2530200
2012-10-08,35.820000,36.160000,35.549999,35.669998,28.738798,2006300
2012-10-15,35.759998,37.529999,35.630001,37.209999,29.979548,3336900
2012-10-22,36.930000,37.669998,36.639999,36.830002,29.673395,3140900
2012-10-29,36.450001,38.799999,34.610001,35.470001,28.577663,4737200
2012-11-05,35.259998,36.389999,34.610001,35.189999,28.352064,4499400
2012-11-12,35.290001,35.349998,33.680000,34.509998,27.804207,3673000
2012-11-19,34.709999,35.470001,34.110001,35.080002,28.263447,2206300
2012-11-26,34.919998,36.299999,34.860001,35.970001,28.980501,4391400
2012-12-03,36.110001,36.400002,35.330002,35.919998,28.940207,2375600
2012-12-10,35.900002,36.459999,35.470001,35.599998,28.682405,2845100
2012-12-17,35.580002,36.610001,34.470001,34.490002,27.788086,6902700
2012-12-24,34.500000,34.869999,33.860001,34.310001,27.643059,1946000
2012-12-31,34.250000,36.189999,34.119999,36.150002,29.338003,2703400
2013-01-07,35.889999,36.980000,35.490002,36.900002,29.946671,3538000
2013-01-14,36.810001,36.970001,36.480000,36.880001,29.930443,3197000
2013-01-21,37.000000,38.270000,36.840000,38.160000,30.969236,2293200
2013-01-28,38.119999,39.270000,37.240002,39.090000,31.723993,3490900
2013-02-04,38.689999,40.340000,37.500000,40.299999,32.705986,5679300
2013-02-11,39.400002,40.599998,39.400002,40.250000,32.665401,5738500
2013-02-18,40.209999,40.860001,40.049999,40.680000,33.014370,4445300
2013-02-25,40.689999,40.930000,40.009998,40.759998,33.079304,3809100
2013-03-04,40.759998,41.340000,39.939999,40.959999,33.241608,4044000
2013-03-11,40.910000,41.250000,40.639999,40.990002,33.265976,3231800
2013-03-18,40.700001,41.980000,40.619999,41.520000,33.696087,4091600
2013-03-25,40.970001,41.619999,40.619999,41.619999,33.777241,3113500
2013-04-01,41.549999,42.279999,41.360001,42.240002,34.489239,4980800
